State/UT,Area,Ever tobacco users (%),Current tobacco users (%),Ever cigarette users (%),Current cigarette users (%),Median age of initiation of Cigarette (in years),Ever tobacco smokers who quit in last 12 months (%),Current tobacco smokers who tried to quit smoking in the past 12 months (%),Current tobacco smokers who wanted to quit smoking now   (%)
India,Total,18.1,8.5,4.6,2.6,11.5,10.6,20.0,20.6
India,Urban,13.5,5.5,4.1,2.3,11.2,14.6,29.3,25.7
India,Rural,19.5,9.4,4.7,2.6,11.6,9.8,18.6,19.8
Andaman and Nicobar Islands,Total,21.5,4.4,4.4,1.3,12.0,19.8,32.9,30.9
Andhra Pradesh,Total,7.3,2.6,2.6,1.1,12.6,12.8,36.6,30.4
Arunachal Pradesh,Total,63.1,57.9,47.9,45.9,8.7,22.6,35.1,23.8
Assam,Total,16.2,11.9,5.3,4.3,10.9,11.6,14.9,22.9
Bihar,Total,21.5,7.3,4.8,2.3,7.9,5.1,23.6,28.9
Chandigarh,Total,10.3,3.0,1.1,0.6,9.5,10.4,22.6,13.4
Chhattisgarh,Total,18.8,8.0,6.3,4.5,8.2,18.5,23.1,29.0
Dadra and Nagar Haweli,Total,15.3,2.4,1.7,1.1,11.1,22.3,57.1,52.1
Daman and Diu,Total,11.8,4.3,3.4,2.2,12.3,9.7,28.6,29.7
Delhi,Total,16.5,8.0,3.9,2.7,7.8,4.0,30.0,11.4
Goa,Total,9.3,2.1,2.7,0.7,11.7,7.7,26.8,26.4
Gujarat,Total,13.9,5.4,4.9,3.3,10.8,25.8,63.0,57.1
Haryana,Total,10.6,3.8,1.5,0.8,11.8,4.1,19.1,19.2
Himachal Pradesh,Total,33.4,1.0,1.3,0.1,11.3,1.1,12.3,11.6
Jharkhand,Total,24.6,5.1,3.7,1.1,10.4,11.1,17.1,21.7
Karnataka,Total,3.8,1.2,1.6,0.5,11.5,0.0,99.9,99.9
Kerala,Total,13.0,3.2,7.1,2.0,11.9,24.4,56.6,38.9
Lakshadweep,Total,23.3,8.1,8.4,4.0,12.6,35.2,47.7,36.1
Madhya Pradesh,Total,10.3,3.9,2.4,2.2,8.5,8.9,26.2,37.9
Maharashtra,Total,16.4,5.1,3.1,1.4,10.6,12.6,19.8,24.3
Manipur,Total,41.0,19.5,17.0,7.3,11.9,22.3,61.0,50.3
Meghalaya,Total,47.0,33.6,25.1,19.2,11.7,35.5,43.6,59.6
Mizoram,Total,89.7,57.9,76.9,35.3,11.1,21.8,52.3,52.7
Nagaland,Total,68.3,42.6,36.4,20.4,11.0,13.5,65.7,78.6
Odisha,Total,17.9,6.2,4.8,1.6,11.1,11.6,24.1,20.4
Puducherry,Total,11.6,4.3,1.5,0.0,14.5,24.8,0.1,0.1
Punjab,Total,12.3,5.7,4.8,3.6,7.9,4.6,20.7,36.8
Rajasthan,Total,11.1,4.1,7.0,3.7,13.4,30.4,88.9,88.9
Sikkim,Total,41.8,24.6,27.0,19.4,12.7,37.2,54.2,49.1
Tamil Nadu,Total,14.1,4.8,3.9,2.3,11.0,16.4,25.3,20.1
Telangana,Total,9.4,5.2,3.8,2.5,13.1,15.7,15.3,30.1
Tripura,Total,22.6,7.6,5.6,2.7,9.9,12.7,25.7,40.2
Uttar Pradesh,Total,32.2,22.9,4.0,2.3,9.6,3.2,4.3,4.0
Uttarakhand,Total,31.4,18.5,13.2,7.3,7.0,14.1,20.9,17.9
West Bengal,Total,17.3,7.1,5.4,3.6,12.6,16.9,37.9,40.1
